TARIFF CLASSIFICATION REPORT
Generated,20260827_044639
Best Model,RandomForest
Test AUC,0.5433
Test F1,0.4857
Test Accuracy,0.4426

── SECTION 1: MODEL COMPARISON ──────────────────────────────
Model,Val_F1,Test_F1,Accuracy,AUC,Precision,Recall,Time_s,Best
RandomForest,0.4884,0.4857,0.4426,0.5433,0.7007,0.4426,8.1,YES
DecisionTree,0.4335,0.4298,0.3988,0.5276,0.7053,0.3988,7.2,
LogisticRegression,0.5104,0.5106,0.4630,0.5183,0.6904,0.4630,7.0,

── SECTION 2: PER-CLASS METRICS ──────────────────────────────
Class,Total,Correct,Precision,Recall,F1,Specificity
Std,9450,3656,0.8225,0.3869,0.5262,0.6658
ToU,2361,1572,0.2134,0.6658,0.3232,0.3869

── SECTION 3: FEATURE IMPORTANCE ──────────────────────────────
Rank,Feature,Importance
1,hh_peak_to_offpeak_ratio,0.095458
2,hh_night_ratio,0.059221
3,energy_min,0.050274
4,pressure,0.036406
5,hh_stddev,0.036233
6,rolling_mean_14d,0.036040
7,load_factor,0.035835
8,rolling_mean_30d,0.034353
9,energy_std,0.033252
10,rolling_mean_7d,0.032349
11,windSpeed,0.030768
12,lag_max_1,0.029904
13,peak_to_mean_ratio,0.029872
14,rolling_std_7d,0.029442
15,temperatureMax,0.029180
16,cloudCover,0.026565
17,temperatureMin,0.026151
18,hh_peak_hour_avg,0.024951
19,range,0.024949
20,hh_morning_peak_avg,0.023991
21,cv,0.022351
22,humidity,0.022255
23,energy_sum,0.021657
24,energy_median,0.021472
25,energy_max,0.021118
26,hh_range,0.020341
27,lag_mean_7,0.020286
28,month,0.018242
29,hh_daytime_avg,0.018110
30,lag_mean_1,0.017752
31,hh_offpeak_night_avg,0.017436
32,energy_mean,0.017176
33,lag_sum_1,0.014981
34,day_of_week,0.010398
35,season,0.007674
36,is_weekend,0.003561

── SECTION 4: CONFUSION MATRIX (COUNTS) ──────────────────────
,Std,ToU
Std,3656,5794
ToU,789,1572

── SECTION 5: CONFUSION MATRIX (NORMALISED) ──────────────────
,Std,ToU
Std,0.3869,0.6131
ToU,0.3342,0.6658

── SECTION 6: DATASET SUMMARY ──────────────────────────────
Total Records,79995
Train,56168,70.2%
Validation,12016,15.0%
Test,11811,14.8%
Features,36
Classes,2
